# Brief candidates for rhe, ranked by savings-weighted value.
#
# value = frequency × (phonemes - 1). Single-phoneme words are
# omitted because a brief chord saves nothing over typing the
# one phoneme directly.
#
# One word per line. Delete any line to exclude that word from
# brief assignment. Lines starting with '#' are ignored. Delete
# the whole file to regenerate from defaults.
#
# Adding a word not in this list is fine — give it its own line
# with any annotations you like, as long as the word is the
# last whitespace-separated token.
#
# Fields: rank  value  phonemes  word
#
  367          460098    7  decided
  368          459502    3  ago
  369          455592    4  child
  370          453986    3  hope
  371          452781    4  speak
  372          450964    3  face
  373          448335    6  careful
  374          446180    6  secret
  375          445167    4  truth
  376          443739    4  blood
  377          441615    4  able
  378          441363    4  lady
  380          438678    7  evidence
  381          437126    3  turn
  382          435832    2  guy
  383          431697    8  accident
  384          431624    5  scared
  385          431522    8  government
  386          431304    5  uncle
  387          430548    3  case
  388          429546    3  true
  389          429321    4  break
  390          428216    9  impossible
  391          427719    4  city
  392          426558    3  soon
  393          424431    8  detective
  395          423420    4  office
  396          422828    8  difficult
  397          422658    3  worry
  398          421712    9  apartment
  399          417684    7  expect
  400          417410    3  year
  401          416994    7  terrible
  402          415898    3  watch
  403          415652    5  cannot
  404          411200    6  darling
  405          406893    4  honey
  406          402264    4  answer
  407          401335    6  amazing
  408          399048    7  protect
  409          396298    3  sit
  410          395997    4  send
  411          395844    7  dangerous
  412          395325    8  girlfriend
  413          392526    7  attention
  414          392028    5  street
  415          389620    3  young
  416          389120    6  report
  417          384660    4  along
  418          384315    6  strange
  419          384080    6  general
  420          383978    3  late
  422          380247    8  lieutenant
  423          379842    7  present
  424          378000    3  death
  425          377190    4  clear
  426          376338    4  order
  427          375716    3  kid
  428          374985    4  fact
  429          374785    6  mistake
  430          374689    8  obviously
  432          373526    2  may
  433          372460    6  building
# 434          372261    4  six   # typed via number-mode finger-first-mod gesture
  435          371772    4  funny
  436          371154    4  black
  437          368499    4  alive
  438          368456    3  damn
  439          368390    6  system
# 440          367252    3  five  # typed via number-mode finger-first-mod gesture
  441          364574    3  far
  442          362390    6  totally
  443          362286    7  personal
  444          362208    5  quiet
  445          361188    3  its
  446          360885    4  ahead
  447          359365    6  imagine
  448          358953    8  continue
  449          358806    8  appreciate
  451          357855    6  instead
  452          357804    5  return
  453          356796    7  afternoon
  454          356756    3  shut
  455          355540    3  hit
  456          354906    7  screaming
  457          354674    3  easy
  458          354387    4  plan
  459          353910    4  dinner
  460          353014    3  check
  461          352542    2  own
  462          351801    4  sort
  463          349858    3  deal
  464          349512    5  straight
  465          347408    2  show
  466          347328    5  future
  467          345882    7  respect
  468          345595    6  history
  469          342200    6  except
  470          341877    4  sent
  471          341272    3  mine
  472          336948    4  small
  473          335445    6  handle
  474          334702    3  dear
  475          333914    3  four
  476          333844    5  picture
  477          331612    5  wonder
  478          331386    3  fun
  479          329905    6  anywhere
  480          329876    3  word
  481          328330    3  set
  482          328324    3  shall
  483          326694    7  position
  484          325450    6  simple
  485          324888    7  especially
  486          324192    5  figure
  487          323070    6  single
  488          322842    3  hurt
  489          322308    7  involved
  490          322004    5  strong
  491          320408    3  wish
  492          320316    2  hi
  493          319822    3  fight
  494          319317    4  past
  495          318888    3  week
  496          318744    7  boyfriend
  497          318380    6  normal
  498          315894    4  sound
  499          315064    3  fire
  500          315002    3  game
  501          312156    7  professor
  502          311334    3  side
  503          310850    6  surprise
  504          310500    7  contact
  505          310056    5  goodbye
  506          309334    3  read
  507          308814    3  cut
  508          308544    4  glad
  509          307760    5  wedding
  510          307308    4  drive
  511          303399    4  murder
  512          302905    6  prison
  513          302508    2  boy
  514          301800    6  record
  515          300015    4  daddy
  516          298575    6  relax
  517          298435    6  public
  518          297985    2  saw
  519          297252    4  fast
  520          297196    5  finish
  521          297192    5  during
  522          297096    4  cold
  523          296660    6  bastard
  524          295320    6  forward
  525          293860    5  suppose
  526          292017    4  dance
  527          289587    4  follow
  528          289544    3  shot
  529          289326    4  sense
  530          289293    4  sex
  531          288560    5  birthday
  532          287660    5  forgive
  533          285650    3  war
  534          285267    4  dream
  535          284110    3  walk
  536          283916    5  unless
# 537          283872    5  seven # typed via number-mode finger-first-mod gesture
  538          283716    5  clothes
  539          283670    3  town
  540          282636    5  hotel
  541          282416    3  met
  542          282171    4  sweet
  543          282171    4  rather
  544          281955    6  broken
  546          277131    4  lucky
  547          277054    3  half
  548          276295    6  hungry
  549          276278    3  cool
  550          275196    3  free
  551          274896    3  either
  552          274890    6  private
  553          274656    2  huh
  554          274040    5  forever
  555          273222    3  power
  556          273220    5  message
  557          273128    5  entire
  558          271530    6  realize
  559          270808    5  table
  560          270380    5  across
  561          268950    4  coffee
  562          268716    3  team
  563          266936    5  middle
  564          266455    6  accept
  565          266144    3  gun
  566          265550    6  besides
  567          264866    3  line
  568          264476    5  spend
  569          262890    3  bed
  570          262260    4  fault
  571          260364    3  hurry
  572          259470    3  full
  573          258780    3  save
  574          257860    5  marriage
  575          256676    5  forgot
  576          256306    3  hate
  577          255558    4  drop
  578          255314    3  food
  579          254646    4  step
  580          253314    3  light
  581          252714    4  clean
  582          251538    3  dog
  583          251440    5  ground
  584          250266    4  land
  585          250008    5  radio
  586          249428    5  idiot
  587          247988    3  hot
  588          245396    3  pick
  589          244644    4  quick
  590          244200    5  certain
  591          242528    3  cause
  592          242454    4  state
  593          241588    5  smart
  594          238853    2  um
  595          237424    3  lose
  596          237108    5  service
  598          234992    5  angry
  599          234951    4  weird
  600          234820    3  sighs
  601          234432    5  agent
  602          233472    3  boss
  603          229620    4  tired
  604          229467    4  class
  605          228208    3  safe
  606          227926    3  book
  607          227676    5  drunk
  608          227028    5  camera
  609          226836    5  within
  610          226671    4  busy
  611          225762    3  white
  612          224936    5  honest
  613          223740    4  court
  614          223344    5  spent
  615          222552    5  visit
  616          221814    4  marry
  617          221310    4  dark
  618          221140    5  window
  619          219210    4  movie
  620          217192    3  sick
  621          216560    5  machine
  622          216340    5  pleasure
  625          215732    5  college
  626          215718    4  born
  628          214888    3  poor
  629          214412    5  became
  630          214221    4  film
  631          214062    2  die
  632          213489    4  month
  633          213294    4  lying
  634          213178    3  red
  635          212922    4  train
  636          212134    3  shoot
  637          211943    2  each
  638          211749    4  attack
  639          211692    3  touch
  640          210564    3  top
  641          210260    5  upset
  642          210129    4  round
  643          205912    3  win
  644          205887    4  broke
  645          203704    3  hair
  646          203168    5  village
  647          202604    3  bitch
  648          202456    3  luck
# 649          200266    3  ten   # (no number-mode gesture, but still rare enough to spell phonetically)
  650          200154    4  buddy
  651          199368    4  floor
  652          198471    4  swear
  653          197654    2  eat
  655          197385    4  army
  656          197150    3  seem
  657          195825    4  club
  658          195556    3  hang
  659          194973    4  space
  660          194907    4  test
  661          194364    4  box
  662          194283    4  group
  663          194088    3  till
  664          193218    3  catch
  665          191211    4  force
  666          191142    4  short
  667          189928    3  write
